,Name,Model,Year,Mileage,Price
1,Nissan,Nissan Versa,2021,67039,16499
2,Hyundai,Hyundai Elantra,2020,68441,16499
3,Kia,Kia Soul,2020,63093,16799
4,Kia,Kia Soul,2020,68335,16999
5,Nissan,Nissan Altima,2018,72923,16999
6,Toyota,Toyota Corolla,2020,68693,17499
7,Volkswagen,Volkswagen Jetta,2021,66688,17999
8,Toyota,Toyota Corolla,2020,63396,18499
9,Nissan,Nissan Altima,2020,73205,18499
10,Toyota,Toyota Corolla,2021,76644,18499
11,Kia,Kia Optima,2019,48313,18999
12,Chevrolet,Chevrolet Impala,2018,75748,18999
13,Chevrolet,Chevrolet Malibu,2021,68427,19499
14,Hyundai,Hyundai Kona,2021,60140,19999
15,Nissan,Nissan Rogue,2021,75622,20999
16,Nissan,Nissan Altima,2022,26019,21699
17,Chevrolet,Chevrolet Equinox,2021,44515,22499
18,Jeep,Jeep Compass,2021,66147,22499
19,Nissan,Nissan Rogue,2021,66662,22499
20,Ford,Ford Escape,2019,38441,22999
21,Jeep,Jeep Grand Cherokee,2018,61622,26999
22,RAM,RAM 1500 Classic,2021,64013,27999
23,Chevrolet,Chevrolet Traverse,2020,64693,28999
24,Dodge,Dodge Durango,2020,72159,29999
25,Buick,Buick Enclave,2018,54463,31999
26,BMW,BMW X1,2021,34984,32999
27,GMC,GMC Yukon,2021,72468,52499
28,Nissan,Nissan Sentra,2021,65603,17999
29,Ford,Ford Escape,2018,81689,17999
30,Mitsubishi,Mitsubishi Outlander Sport,2021,62940,19499
31,Jeep,Jeep Cherokee,2020,72056,23499
32,Chevrolet,Chevrolet Silverado 1500,2017,76459,24999
33,Toyota,Toyota Highlander,2018,96398,29999
34,Chevrolet,Chevrolet Spark,2020,63054,14999
35,Chevrolet,Chevrolet Spark,2021,64648,14999
36,Kia,Kia Soul,2021,65444,16999
37,Nissan,Nissan Sentra,2021,68411,17999
38,Kia,Kia Soul,2020,78243,17999
39,Chevrolet,Chevrolet Trax,2020,58824,18799
40,Ford,Ford Ecosport,2020,64250,19999
41,Dodge,Dodge Journey,2020,67111,19999
42,Volkswagen,Volkswagen Passat,2021,75648,19999
43,Toyota,Toyota Camry,2020,69225,21499
44,Jeep,Jeep Compass,2021,64564,21999
45,Jeep,Jeep Cherokee,2021,77242,23499
46,Dodge,Dodge Durango,2016,19581,24999
47,Toyota,Toyota Tacoma 2WD,2021,37596,24999
48,Buick,Buick Envision,2019,60592,24999
49,GMC,GMC Acadia,2019,65467,25999
50,Chrysler,Chrysler Pacifica,2021,73320,25999
51,Dodge,Dodge Durango,2019,49103,26499
52,RAM,RAM 1500 Classic,2021,67577,27999
53,Volkswagen,Volkswagen Atlas,2021,66017,28499
54,Ford,Ford Explorer,2019,73349,28999
55,Chevrolet,Chevrolet Traverse,2021,62458,29999
56,Chevrolet,Chevrolet Colorado,2021,65230,29999
57,RAM,RAM 1500,2020,81621,29999
58,Chevrolet,Chevrolet Colorado,2021,63445,30799
59,Dodge,Dodge Charger,2021,64299,30999
60,Nissan,Nissan Armada,2021,76496,30999
61,Alfa Romeo,Alfa Romeo Stelvio,2019,17847,31499
62,Jeep,Jeep Wrangler,2021,66720,33299
63,Jeep,Jeep Wrangler,2021,63050,33499
64,RAM,RAM 1500,2020,65617,33499
65,Hyundai,Hyundai Accent,2020,64810,15999
66,Hyundai,Hyundai Elantra,2020,66714,16499
67,Hyundai,Hyundai Kona,2020,71302,16499
68,Kia,Kia Soul,2020,65330,16999
69,Ford,Ford Escape,2018,83277,17499
70,Hyundai,Hyundai Kona,2021,66498,18499
71,Toyota,Toyota Corolla,2020,66877,18499
72,Mazda,Mazda Mazda6,2021,88061,18999
73,Chevrolet,Chevrolet Malibu,2021,60558,19499
74,Chevrolet,Chevrolet Malibu,2021,67511,19999
75,Hyundai,Hyundai Sonata,2021,67679,19999
76,Chevrolet,Chevrolet Malibu,2021,70104,19999
77,Nissan,Nissan Rogue,2019,72461,19999
78,Honda,Honda Accord Sedan,2018,98378,19999
79,Nissan,Nissan Rogue,2021,75715,22499
80,Nissan,Nissan Maxima,2020,64741,22999
81,Nissan,Nissan Rogue,2021,65145,23499
82,GMC,GMC Terrain,2021,67672,23999
83,Jeep,Jeep Cherokee,2020,69647,23999
84,Hyundai,Hyundai Tucson,2020,71152,23999
85,Nissan,Nissan Rogue,2021,63460,24499
86,Ford,Ford Escape,2019,41744,24999
87,Chrysler,Chrysler 300,2021,66057,24999
88,Honda,Honda Accord Sedan,2019,67178,24999
89,Chevrolet,Chevrolet Traverse,2019,66431,25999
90,Chrysler,Chrysler Pacifica,2021,73949,25999
91,Alfa Romeo,Alfa Romeo Giulia,2018,36972,26999
92,Chrysler,Chrysler Pacifica,2021,68163,28999
93,RAM,RAM 1500 Classic,2021,60899,29999
94,Ford,Ford Explorer,2019,66089,29999
95,BMW,BMW X3,2021,62295,30999
96,Jeep,Jeep Grand Cherokee,2020,30211,31999
97,Acura,Acura RDX,2019,63227,31999
98,Toyota,Toyota Highlander,2021,74150,32499
99,Infiniti,Infiniti QX80,2020,70656,32799
100,Chevrolet,Chevrolet Silverado 1500,2019,65806,32999
101,RAM,RAM 1500,2021,31452,34999
102,Nissan,Nissan Armada,2021,73679,34999
103,Ford,Ford Expedition,2019,70797,42999
104,Chevrolet,Chevrolet Suburban,2021,75732,47999
105,Chevrolet,Chevrolet Tahoe,2021,78764,49499
106,Nissan,Nissan Versa Sedan,2019,61226,12999
107,Nissan,Nissan Versa,2021,61480,15999
108,Nissan,Nissan Versa,2021,61892,15999
109,Nissan,Nissan Versa,2021,65956,16499
110,Nissan,Nissan Kicks,2021,61028,17999
111,Ford,Ford Ecosport,2021,59243,19499
112,Toyota,Toyota Corolla,2021,61582,19499
113,Chevrolet,Chevrolet Malibu,2021,62679,19499
114,Mitsubishi,Mitsubishi Outlander Sport,2020,66402,19499
115,Chevrolet,Chevrolet Malibu,2021,60855,19999
116,Nissan,Nissan Altima,2021,61071,19999
117,Nissan,Nissan Altima,2021,62582,19999
118,Chevrolet,Chevrolet Malibu,2021,63497,19999
119,Chevrolet,Chevrolet Malibu,2021,63949,19999
120,Nissan,Nissan Altima,2021,65178,19999
121,Nissan,Nissan Rogue Sport,2021,67456,19999
122,Volkswagen,Volkswagen Passat,2021,63673,20499
123,Chevrolet,Chevrolet Malibu,2021,65352,20499
124,Chevrolet,Chevrolet Equinox,2021,74095,20499
125,Mazda,Mazda Mazda CX-30,2020,62064,20999
126,Kia,Kia K5,2021,64884,20999
127,Jeep,Jeep Compass,2020,69025,21499
128,Nissan,Nissan Altima,2020,70298,21499
129,Chevrolet,Chevrolet Malibu,2021,69226,21799
130,Infiniti,Infiniti QX50,2017,61045,21999
131,Jeep,Jeep Compass,2021,63248,22499
132,Nissan,Nissan Maxima,2021,62106,22999
133,Jeep,Jeep Renegade,2019,60482,23499
134,Nissan,Nissan Murano,2021,69422,23499
135,Dodge,Dodge Charger,2021,63966,23799
136,Jeep,Jeep Compass,2021,60804,23999
137,GMC,GMC Terrain,2021,62564,23999
138,GMC,GMC Terrain,2021,64894,23999
139,GMC,GMC Terrain,2021,69412,23999
140,Toyota,Toyota RAV4,2021,64135,24999
141,Mazda,Mazda Mazda CX-5,2021,64282,24999
142,Mazda,Mazda Mazda CX-5,2021,67965,24999
143,Jeep,Jeep Cherokee,2020,67084,25449
144,Chrysler,Chrysler Pacifica,2021,69790,26999
145,Mazda,Mazda Mazda CX-9,2021,64153,29999
146,Chevrolet,Chevrolet Express Cargo Van,2021,74383,31999
147,RAM,RAM 1500,2020,38590,32499
148,Nissan,Nissan Armada,2021,71619,34499
149,Chevrolet,Chevrolet Silverado 1500,2020,69260,34999
150,Ford,Ford Transit Cargo Van,2022,62270,44999
151,Nissan,Nissan Sentra,2019,66595,14999
152,Hyundai,Hyundai Accent,2020,65631,15999
153,Hyundai,Hyundai Elantra,2019,54451,16499
